Back,Back
"Delete Bannner","Delete Bannner"
"Are you sure you want to revoke the customer's tokens?","Are you sure you want to revoke the customer's tokens?"
"Force Sign-In","Force Sign-In"
"Create Order","Create Order"
"Please select","Please select"
Reset,Reset
"Reset Password","Reset Password"
"Save and Continue Edit","Save and Continue Edit"
"Save Banner","Save Banner"
"Banner Infomation","Banner Infomation"
Online,Online
Unlock,Unlock
"Delete Category Image","Delete Category Image"
"Save Category Image","Save Category Image"
"Delete Featured Category","Delete Featured Category"
"Save Featured Category","Save Featured Category"
"Delete Notification","Delete Notification"
"Push Notification","Push Notification"
"Save Notification","Save Notification"
"Choose an Option...","Choose an Option..."
"Banner could not be deleted.","Banner could not be deleted."
"Banner has been deleted.","Banner has been deleted."
"Requested banner doesn't exist","Requested banner doesn't exist"
"Something went wrong while editing the banner.","Something went wrong while editing the banner."
"Edit Item with id %1","Edit Item with id %1"
"New Banner","New Banner"
"Banner Image","Banner Image"
"Manage Banner Images","Manage Banner Images"
"A total of %1 record(s) were deleted.","A total of %1 record(s) were deleted."
"A total of %1 record(s) were disabled.","A total of %1 record(s) were disabled."
"A total of %1 record(s) were enabled.","A total of %1 record(s) were enabled."
"You saved the banner.","You saved the banner."
"Something went wrong while saving the banner. %1","Something went wrong while saving the banner. %1"
"Please upload banner image.","Please upload banner image."
"File can not be saved to the destination folder.","File can not be saved to the destination folder."
"Sort order should be a number.","Sort order should be a number."
"Sort order field can not be blank.","Sort order field can not be blank."
"Requested product doesn't exist","Requested product doesn't exist"
"Requested category doesn't exist","Requested category doesn't exist"
"Banner type or id should be set.","Banner type or id should be set."
"Category image record could not be deleted.","Category image record could not be deleted."
"Category image record has been deleted.","Category image record has been deleted."
"Requested categoryimages doesn't exist","Requested categoryimages doesn't exist"
"Something went wrong while editing the category image.","Something went wrong while editing the category image."
"New Category Image","New Category Image"
"Category Image","Category Image"
"Manage Category's Banners and Icons","Manage Category's Banners and Icons"
"You saved the category image.","You saved the category image."
"Something went wrong while saving the category images. %1","Something went wrong while saving the category images. %1"
"Please upload category icon image.","Please upload category icon image."
"Please upload category banner image.","Please upload category banner image."
"Category id should be set.","Category id should be set."
"Featuredcategories could not be deleted.","Featuredcategories could not be deleted."
"Featuredcategories has been deleted.","Featuredcategories has been deleted."
"Requested featuredcategories doesn't exist","Requested featuredcategories doesn't exist"
"Something went wrong while editing the featuredcategories.","Something went wrong while editing the featuredcategories."
"New Featuredcategories","New Featuredcategories"
Featuredcategories,Featuredcategories
"Manage Featured Categories","Manage Featured Categories"
"You saved the featuredcategories.","You saved the featuredcategories."
"Something went wrong while saving the featuredcategories. %1","Something went wrong while saving the featuredcategories. %1"
"Please upload featuredcategories image.","Please upload featuredcategories image."
"Notification could not be deleted.","Notification could not be deleted."
"Notification has been deleted.","Notification has been deleted."
"Requested notification doesn't exist","Requested notification doesn't exist"
"Something went wrong while editing the notification.","Something went wrong while editing the notification."
"New Notification","New Notification"
Notification,Notification
"Manage Notifications","Manage Notifications"
"You saved the notification.","You saved the notification."
"Something went wrong while saving the notification. %1","Something went wrong while saving the notification. %1"
"Please upload notification image.","Please upload notification image."
"Notification type or id should be set.","Notification type or id should be set."
"Session id expired !","Session id expired !"
"Cannot specify product.","Cannot specify product."
"An error occurred while adding item to wishlist: %1","An error occurred while adding item to wishlist: %1"
"An error occurred while adding item to wishlist.","An error occurred while adding item to wishlist."
"Invalid Request.","Invalid Request."
"In stock","In stock"
"Out of stock","Out of stock"
N/A,N/A
No,No
"Review by %1","Review by %1"
"(Posted on %1)","(Posted on %1)"
sample,sample
"Buy %1 for %2 each","Buy %1 for %2 each"
and,and
save,save
"The requested quantity is not available","The requested quantity is not available"
"The requested quantity of ","The requested quantity of "
" is not available"," is not available"
"Unable to add product to cart.","Unable to add product to cart."
"quantity not available.","quantity not available."
"%1 was added to your shopping cart.","%1 was added to your shopping cart."
"invalid request","invalid request"
"Coupon code '%1' was applied.","Coupon code '%1' was applied."
"Coupon code '%1' is not valid.","Coupon code '%1' is not valid."
"Coupon code was canceled.","Coupon code was canceled."
"Invalid shipping method.","Invalid shipping method."
"Customer Address is not valid.","Customer Address is not valid."
"This email already exist.","This email already exist."
"Invalid Billing data.","Invalid Billing data."
"Invalid Shipping data.","Invalid Shipping data."
"You will be redirected to the PayPal website.","You will be redirected to the PayPal website."
"Make Check payable to:","Make Check payable to:"
"Send Check to:","Send Check to:"
"Guest Checkout is not Enabled","Guest Checkout is not Enabled"
"Invalid Request","Invalid Request"
"The address has been deleted.","The address has been deleted."
"The address has been saved.","The address has been saved."
"Invalid email address.","Invalid email address."
"Customer exists please login","Customer exists please login"
"There is already an account with this email address.","There is already an account with this email address."
"Your Account has been successfully created","Your Account has been successfully created"
"Invalid request","Invalid request"
"Requested link does not exist.","Requested link does not exist."
"An error occurred while getting the requested content. Please contact the store owner.","An error occurred while getting the requested content. Please contact the store owner."
"The link has expired.","The link has expired."
"The link is not available.","The link is not available."
"Invalid current password","Invalid current password"
"The account information has been saved.","The account information has been saved."
"If there is an account associated with %1 you will receive an email with a link to reset your password.","If there is an account associated with %1 you will receive an email with a link to reset your password."
"Please enter your email.","Please enter your email."
"You have not set a default billing address.","You have not set a default billing address."
"You have not set a default shipping address.","You have not set a default shipping address."
"You have no additional address.","You have no additional address."
Hello,Hello
"You are currently subscribed to 'General Subscription'.","You are currently subscribed to 'General Subscription'."
"You are currently not subscribed to any newsletter.","You are currently not subscribed to any newsletter."
"Sorry This Order Does not Exist!!","Sorry This Order Does not Exist!!"
Unlimited,Unlimited
"Invalid Order.","Invalid Order."
"No shipping information available","No shipping information available"
Subtotal,Subtotal
"Shipping & Handling","Shipping & Handling"
"Discount (%s)","Discount (%s)"
Discount,Discount
Tax,Tax
"Grand Total","Grand Total"
"Grand Total to be Charged","Grand Total to be Charged"
"Your Review (submitted on %1)","Your Review (submitted on %1)"
"This account is not confirmed.","This account is not confirmed."
"Invalid login or password.","Invalid login or password."
"Product(s) Has been Added to cart.","Product(s) Has been Added to cart."
"An error occurred while deleting the item from wishlist.","An error occurred while deleting the item from wishlist."
"Item successfully deleted from wishlist.","Item successfully deleted from wishlist."
"Your review has been accepted for moderation.","Your review has been accepted for moderation."
"The subscription has been saved.","The subscription has been saved."
"The subscription has been removed.","The subscription has been removed."
"Can't delete item from wishlist","Can't delete item from wishlist"
"Can't save description %1","Can't save description %1"
"Can't update wishlist","Can't update wishlist"
"Wishlist updated successfully","Wishlist updated successfully"
"Item id is invalid","Item id is invalid"
"Invalid data.","Invalid data."
"Product(s) has successfully moved to cart.","Product(s) has successfully moved to cart."
"There is some error in processing your request","There is some error in processing your request"
"Invalid username or password.","Invalid username or password."
"Device Registered Succesfully","Device Registered Succesfully"
"Device Already Registered","Device Already Registered"
"Please Provide Token","Please Provide Token"
"Please enter a valid email address.","Please enter a valid email address."
"Sorry, but administrator denied subscription for guests.","Sorry, but administrator denied subscription for guests."
"This email address is already assigned to another user.","This email address is already assigned to another user."
"Confirmation request has been sent.","Confirmation request has been sent."
"Thank you for your subscription.","Thank you for your subscription."
"%1 and above","%1 and above"
"%1 - %2","%1 - %2"
Enabled,Enabled
Disabled,Disabled
Product,Product
Category,Category
"Unable to remove banner image with id %1","Unable to remove banner image with id %1"
"Unable to remove categoryimages record with id %1","Unable to remove categoryimages record with id %1"
"Unable to remove featuredcategories record with id %1","Unable to remove featuredcategories record with id %1"
Others,Others
"Custom Collection","Custom Collection"
"Unable to remove notification record with id %1","Unable to remove notification record with id %1"
"All Store Views","All Store Views"
Edit,Edit
"Assigned Product Ids","Assigned Product Ids"
"Total Sale","Total Sale"
"Total Seller Sale","Total Seller Sale"
"Total Admin Sale","Total Admin Sale"
"Current Commission %","Current Commission %"
"Shop name is available.","Shop name is available."
"Shop name is already exists.","Shop name is already exists."
"Payment Information","Payment Information"
"Payment Information not filled by the Seller yet.","Payment Information not filled by the Seller yet."
SKU,SKU
"By Seller","By Seller"
"Seller Payment Information","Seller Payment Information"
"Seller Name ","Seller Name "
"Seller Email ","Seller Email "
"Total Amount To Be Pay ","Total Amount To Be Pay "
"Add Comment","Add Comment"
Pay,Pay
"Are you sure you want to do this?","Are you sure you want to do this?"
"There was error during fetching results.","There was error during fetching results."
Custom,Custom
Chharo,Chharo
"Set Parameters for User Authentication","Set Parameters for User Authentication"
Username,Username
Password,Password
"API Session Timeout","API Session Timeout"
"Android Push Notification Parameters","Android Push Notification Parameters"
"API key","API key"
Topic,Topic
"eg. local","eg. local"
"iOS Push Notification Parameters","iOS Push Notification Parameters"
"Enable SandBox Push Notification","Enable SandBox Push Notification"
"Banner Information","Banner Information"
"Sort Order","Sort Order"
"Banner Type","Banner Type"
"Product/Category Id","Product/Category Id"
"Store View","Store View"
"Banner Status","Banner Status"
"Add Images","Add Images"
Disable,Disable
"Are you sure you wan't to disable selected records?","Are you sure you wan't to disable selected records?"
Enable,Enable
"Are you sure you wan't to enable selected records?","Are you sure you wan't to enable selected records?"
Delete,Delete
"Are you sure you wan't to delete selected records?","Are you sure you wan't to delete selected records?"
ID,ID
Image,Image
Status,Status
Created,Created
Modified,Modified
"Category Image Information","Category Image Information"
Categories,Categories
"Icon Image","Icon Image"
"Category Id","Category Id"
"Category Name","Category Name"
"Featured Category Information","Featured Category Information"
" Featured Category Information"," Featured Category Information"
" Featured Category Status"," Featured Category Status"
"Add Featured Category","Add Featured Category"
"Notification Information","Notification Information"
"Notification Title","Notification Title"
"Notification Content","Notification Content"
"Notification Type","Notification Type"
"Notification Status","Notification Status"
"Add Notification","Add Notification"
Push,Push
"Confirm Push Notification","Confirm Push Notification"
"Are you sure you want to send push notifications?","Are you sure you want to send push notifications?"
